fullname,texturepath,ptmf,leaf,title,support,dims,thickness,area,year,edition,printpath,suffix,rv,tr,height,width,portrait,leafside,leaflightangle,suffixportrait,rvportrait,editionportrait,editionsuffix,editionsuffixportrait,editionside,editionsideportrait,editionlightangle,editionlightangleportrait
1249_4_rr,img/1249_4_rr.jpeg,1249,1249_4,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.351,2376,1925,2,prints/2_1925_1249-101019.jpg,rr,r,r,54.0,44.0,True,1249_4_r,1249_4_r,rr_True,r_True,2_True,2_rr,2_rr_True,2_r,2_r_True,2_r,2_r_True
1249_4_rt,img/1249_4_rt.jpeg,1249,1249_4,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.351,2376,1925,2,prints/2_1925_1249-101019.jpg,rt,r,t,54.0,44.0,True,1249_4_r,1249_4_t,rt_True,r_True,2_True,2_rt,2_rt_True,2_r,2_r_True,2_t,2_t_True
1249_4_vr,img/1249_4_vr.jpeg,1249,1249_4,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.351,2376,1925,2,prints/2_1925_1249-101019.jpg,vr,v,r,54.0,44.0,True,1249_4_v,1249_4_r,vr_True,v_True,2_True,2_vr,2_vr_True,2_v,2_v_True,2_r,2_r_True
1249_4_vt,img/1249_4_vt.jpeg,1249,1249_4,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.351,2376,1925,2,prints/2_1925_1249-101019.jpg,vt,v,t,54.0,44.0,True,1249_4_v,1249_4_t,vt_True,v_True,2_True,2_vt,2_vt_True,2_v,2_v_True,2_t,2_t_True
1249_5_rr,img/1249_5_rr.jpeg,1249,1249_5,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.321,2376,1925,2,prints/2_1925_1249-101019.jpg,rr,r,r,54.0,44.0,True,1249_5_r,1249_5_r,rr_True,r_True,2_True,2_rr,2_rr_True,2_r,2_r_True,2_r,2_r_True
1249_5_rt,img/1249_5_rt.jpeg,1249,1249_5,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.321,2376,1925,2,prints/2_1925_1249-101019.jpg,rt,r,t,54.0,44.0,True,1249_5_r,1249_5_t,rt_True,r_True,2_True,2_rt,2_rt_True,2_r,2_r_True,2_t,2_t_True
1249_5_vr,img/1249_5_vr.jpeg,1249,1249_5,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.321,2376,1925,2,prints/2_1925_1249-101019.jpg,vr,v,r,54.0,44.0,True,1249_5_v,1249_5_r,vr_True,v_True,2_True,2_vr,2_vr_True,2_v,2_v_True,2_r,2_r_True
1249_5_vt,img/1249_5_vt.jpeg,1249,1249_5,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.321,2376,1925,2,prints/2_1925_1249-101019.jpg,vt,v,t,54.0,44.0,True,1249_5_v,1249_5_t,vt_True,v_True,2_True,2_vt,2_vt_True,2_v,2_v_True,2_t,2_t_True
1249_essai_10_rr,img/1249_essai_10_rr.jpeg,1249,1249_essai_10,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.379,2376,1925,2,prints/2_1925_1249-101019.jpg,rr,r,r,54.0,44.0,True,1249_essai_10_r,1249_essai_10_r,rr_True,r_True,2_True,2_rr,2_rr_True,2_r,2_r_True,2_r,2_r_True
1249_essai_10_rt,img/1249_essai_10_rt.jpeg,1249,1249_essai_10,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.379,2376,1925,2,prints/2_1925_1249-101019.jpg,rt,r,t,54.0,44.0,True,1249_essai_10_r,1249_essai_10_t,rt_True,r_True,2_True,2_rt,2_rt_True,2_r,2_r_True,2_t,2_t_True
1249_essai_10_vr,img/1249_essai_10_vr.jpeg,1249,1249_essai_10,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.379,2376,1925,2,prints/2_1925_1249-101019.jpg,vr,v,r,54.0,44.0,True,1249_essai_10_v,1249_essai_10_r,vr_True,v_True,2_True,2_vr,2_vr_True,2_v,2_v_True,2_r,2_r_True
1249_essai_10_vt,img/1249_essai_10_vt.jpeg,1249,1249_essai_10,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.379,2376,1925,2,prints/2_1925_1249-101019.jpg,vt,v,t,54.0,44.0,True,1249_essai_10_v,1249_essai_10_t,vt_True,v_True,2_True,2_vt,2_vt_True,2_v,2_v_True,2_t,2_t_True
1249_essai_rr,img/1249_essai_rr.jpeg,1249,1249_essai,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.391,2376,1925,2,prints/2_1925_1249-101019.jpg,rr,r,r,54.0,44.0,True,1249_essai_r,1249_essai_r,rr_True,r_True,2_True,2_rr,2_rr_True,2_r,2_r_True,2_r,2_r_True
1249_essai_rt,img/1249_essai_rt.jpeg,1249,1249_essai,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.391,2376,1925,2,prints/2_1925_1249-101019.jpg,rt,r,t,54.0,44.0,True,1249_essai_r,1249_essai_t,rt_True,r_True,2_True,2_rt,2_rt_True,2_r,2_r_True,2_t,2_t_True
1249_essai_vr,img/1249_essai_vr.jpeg,1249,1249_essai,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.391,2376,1925,2,prints/2_1925_1249-101019.jpg,vr,v,r,54.0,44.0,True,1249_essai_v,1249_essai_r,vr_True,v_True,2_True,2_vr,2_vr_True,2_v,2_v_True,2_r,2_r_True
1249_essai_vt,img/1249_essai_vt.jpeg,1249,1249_essai,Nu au fauteuil sur fond moucharabien,ARCHES,54 x 44 cm,0.391,2376,1925,2,prints/2_1925_1249-101019.jpg,vt,v,t,54.0,44.0,True,1249_essai_v,1249_essai_t,vt_True,v_True,2_True,2_vt,2_vt_True,2_v,2_v_True,2_t,2_t_True
1253_4_rr,img/1253_4_rr.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,rr,r,r,28.5,35.8,False,1253_4_r,1253_4_r,rr_False,r_False,4_False,4_rr,4_rr_False,4_r,4_r_False,4_r,4_r_False
1253_4_rt,img/1253_4_rt.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,rt,r,t,28.5,35.8,False,1253_4_r,1253_4_t,rt_False,r_False,4_False,4_rt,4_rt_False,4_r,4_r_False,4_t,4_t_False
1253_4_vr,img/1253_4_vr.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,vr,v,r,28.5,35.8,False,1253_4_v,1253_4_r,vr_False,v_False,4_False,4_vr,4_vr_False,4_v,4_v_False,4_r,4_r_False
1253_4_vt,img/1253_4_vt.jpeg,1253,1253_4,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.399,1020,1929,4,prints/4_1929_1253-101024.jpg,vt,v,t,28.5,35.8,False,1253_4_v,1253_4_t,vt_False,v_False,4_False,4_vt,4_vt_False,4_v,4_v_False,4_t,4_t_False
